Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
UT776,Rossiya,2024-07-15,17:58:04,48
DP7253,S7 Airlines,2024-06-28,21:58:13,222
DP6963,Red Wings,2025-03-07,00:31:08,162
FV3681,Ural Airlines,2024-09-24,20:02:45,5
N47194,S7 Airlines,2024-04-24,17:26:35,171
UT6161,Rossiya,2024-08-14,06:14:12,163
FV9444,Utair,2025-08-16,22:39:10,116
U69165,Utair,2025-07-24,09:38:28,48
S79988,Aeroflot,2024-08-16,12:08:10,104
S73063,Ural Airlines,2025-07-06,06:15:58,50
U64819,Ural Airlines,2025-03-01,00:07:46,280
N41826,Red Wings,2024-07-26,02:58:46,151
UT5065,Rossiya,2024-08-22,06:27:34,233
FV9928,Rossiya,2025-11-12,00:31:48,53
DP5331,Ural Airlines,2025-08-23,22:08:13,213
FV4864,Utair,2025-07-23,10:07:55,10
N42390,Pobeda,2024-05-04,18:47:06,116
FV4257,Pobeda,2025-12-24,13:13:38,179
WZ4069,Pobeda,2024-02-27,10:33:19,57
N49238,Pobeda,2025-08-15,05:40:50,129
N42106,Pobeda,2025-07-25,03:14:32,91
SU520,Rossiya,2025-04-15,21:18:02,99
FV4790,Pobeda,2024-12-11,19:53:46,238
WZ8597,Aeroflot,2025-08-09,00:00:04,221
DP7189,S7 Airlines,2025-06-01,07:57:20,13
SU9951,Aeroflot,2025-05-14,16:58:43,267
FV5497,Pobeda,2025-02-18,13:30:42,138
S73415,Nordwind,2025-01-22,01:27:03,89
UT7503,Ural Airlines,2025-06-14,17:13:03,174
U65047,Nordwind,2025-09-07,02:02:12,160
U66766,Utair,2025-10-05,17:10:14,136
S71720,S7 Airlines,2025-08-09,14:00:47,151
WZ3224,Pobeda,2025-11-19,13:55:48,31
DP493,Pobeda,2025-08-21,16:33:39,210
N45032,Red Wings,2025-04-11,08:44:05,241
S71560,Utair,2025-09-03,00:48:08,23
N45373,S7 Airlines,2025-04-17,00:09:44,67
DP6911,Nordwind,2025-12-22,09:59:56,75
FV4464,Utair,2024-12-14,13:36:48,148
FV1258,Aeroflot,2025-03-26,10:25:23,1
N41353,Aeroflot,2024-10-01,12:03:43,291
S73131,Pobeda,2024-09-04,17:00:45,9
U65035,S7 Airlines,2024-12-22,05:11:12,193
DP1459,Rossiya,2025-02-04,23:16:07,15
S76551,Aeroflot,2025-03-14,14:28:47,64
UT8325,Pobeda,2024-02-04,02:00:59,147
S71241,Rossiya,2025-09-27,00:02:47,189
N46689,S7 Airlines,2025-09-28,18:23:52,31
WZ8601,Nordwind,2024-01-07,01:25:38,152
UT2078,Pobeda,2024-10-26,10:52:30,293
WZ7411,Red Wings,2024-10-13,08:52:27,222
S76744,Pobeda,2025-10-28,04:06:10,152
SU8952,Aeroflot,2025-09-11,07:50:55,234
FV6804,Nordwind,2024-01-08,09:46:00,252
S72885,Red Wings,2025-07-18,18:14:45,176
U61955,Red Wings,2024-06-19,02:46:34,117
FV3224,Aeroflot,2025-04-02,00:15:43,93
N48595,Red Wings,2025-12-10,12:36:26,46
S71164,Nordwind,2024-02-28,05:59:50,133
DP2054,Red Wings,2024-06-25,04:26:55,228
FV2752,Ural Airlines,2024-10-08,13:20:47,123
UT6472,Nordwind,2025-12-02,01:22:52,146
SU162,Ural Airlines,2024-01-10,03:52:06,166
SU8075,Nordwind,2024-05-23,04:01:01,255
N42264,S7 Airlines,2025-12-01,07:16:31,55
DP5850,Red Wings,2025-02-19,11:12:20,73
DP7560,S7 Airlines,2024-10-06,15:49:29,49
S7323,S7 Airlines,2024-10-14,00:00:44,48
UT7192,Aeroflot,2024-01-14,08:02:39,11
WZ1138,Ural Airlines,2025-08-02,06:29:07,60
UT7588,Rossiya,2024-02-02,19:38:58,219
UT3309,Pobeda,2025-03-15,04:21:32,274
UT8687,Nordwind,2024-06-09,03:37:23,186
S75306,Rossiya,2025-09-06,10:51:56,180
U69551,Pobeda,2025-12-05,16:59:16,88
UT2198,S7 Airlines,2025-12-12,16:54:59,88
UT1111,Utair,2025-12-25,17:33:15,234
U65672,Pobeda,2025-06-08,09:06:49,51
DP5109,Nordwind,2025-05-08,00:07:49,78
DP4119,Ural Airlines,2024-04-17,23:03:44,84
N42676,Rossiya,2025-09-07,22:42:48,275
U61508,S7 Airlines,2024-04-01,15:49:04,168
WZ9387,Nordwind,2024-12-22,03:42:49,190
SU5906,Rossiya,2025-06-01,19:33:08,111
U65608,Utair,2025-02-04,09:01:04,12
N4122,Aeroflot,2024-04-23,22:45:02,240
UT3894,Rossiya,2024-05-16,04:52:49,189
WZ2519,Aeroflot,2025-04-19,00:59:14,40
UT2482,Ural Airlines,2024-08-02,06:08:53,248
N48581,Pobeda,2024-11-04,16:58:26,155
