Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
S7892,Utair,2024-02-01,10:28:41,57
WZ7502,Utair,2025-09-23,07:40:11,105
UT9813,Aeroflot,2025-04-09,09:25:30,34
SU314,Ural Airlines,2024-08-16,16:38:32,0
S79118,Red Wings,2025-04-09,12:46:41,109
S79142,S7 Airlines,2024-12-23,19:28:52,251
DP5894,S7 Airlines,2024-04-18,16:57:02,116
FV8760,Red Wings,2024-04-18,12:46:41,100
WZ5414,Rossiya,2024-04-23,16:10:33,208
N43049,Aeroflot,2024-02-23,11:54:26,81
S76327,Rossiya,2024-06-05,22:10:27,40
UT8722,Ural Airlines,2025-04-11,22:16:32,182
N4750,Aeroflot,2024-11-03,19:41:15,138
SU6530,Aeroflot,2024-09-05,14:08:48,240
DP6079,Rossiya,2024-11-18,06:19:07,228
SU9695,Nordwind,2025-10-21,05:31:43,279
S79712,Pobeda,2024-03-08,09:32:45,161
WZ8561,S7 Airlines,2024-06-01,05:36:58,119
N42458,S7 Airlines,2024-11-21,08:05:57,191
SU8694,Aeroflot,2025-04-23,14:32:14,254
FV1758,Utair,2025-03-26,06:38:45,291
UT5899,Red Wings,2024-02-01,17:43:06,4
WZ1840,Red Wings,2025-11-08,13:34:37,33
SU5714,Aeroflot,2025-05-01,10:07:22,89
DP5152,Aeroflot,2025-04-18,10:20:54,83
FV4763,S7 Airlines,2024-08-03,06:39:04,75
N41551,Red Wings,2025-03-26,17:28:49,181
SU7528,S7 Airlines,2025-03-22,14:14:15,299
U64451,Red Wings,2024-03-09,18:27:38,281
S79602,Utair,2024-07-16,08:54:27,168
SU9056,S7 Airlines,2024-02-28,20:07:39,20
N48556,S7 Airlines,2024-09-18,00:31:26,65
WZ3562,Aeroflot,2025-01-10,08:32:53,286
DP889,Pobeda,2024-03-01,01:42:41,94
SU5885,Nordwind,2024-07-14,07:45:41,13
UT5545,Ural Airlines,2024-12-06,14:19:15,291
FV4587,Red Wings,2024-03-19,14:14:50,187
U6191,Utair,2025-03-12,03:06:22,267
SU5785,Aeroflot,2025-04-28,16:42:37,235
DP4378,Pobeda,2024-03-09,21:12:54,225
N45186,Ural Airlines,2024-11-20,07:28:44,155
SU2002,Pobeda,2024-01-21,21:53:58,121
UT2121,Utair,2025-02-21,10:39:35,174
N49367,Red Wings,2025-11-28,23:55:42,133
S74842,Rossiya,2025-03-11,10:32:13,147
N42132,Pobeda,2024-05-17,04:40:25,293
N41436,Ural Airlines,2024-08-13,13:51:34,249
S72859,Nordwind,2024-03-24,18:48:25,94
U6828,Nordwind,2025-09-24,15:33:28,158
SU7705,Rossiya,2024-05-02,01:05:25,95
WZ4816,Utair,2025-03-12,02:08:10,28
U68270,Nordwind,2025-01-16,02:44:10,249
WZ3760,Ural Airlines,2025-08-09,07:15:04,133
SU5652,Aeroflot,2024-01-10,02:35:48,152
S73403,Aeroflot,2025-08-16,06:19:39,32
DP3147,Red Wings,2024-09-27,00:25:43,65
N44852,Aeroflot,2025-07-20,16:49:11,211
UT4904,Pobeda,2024-03-19,00:36:34,65
UT3379,Utair,2024-09-07,20:59:01,121
S75565,Ural Airlines,2024-12-23,21:47:23,84
FV6449,Nordwind,2024-05-25,02:21:28,126
S74733,Ural Airlines,2024-06-03,01:02:26,13
S77661,Nordwind,2025-10-19,23:30:21,130
UT7718,S7 Airlines,2024-11-24,14:29:28,145
N42252,Rossiya,2025-04-17,23:26:21,25
FV3961,Ural Airlines,2024-03-05,10:45:26,86
N41424,Aeroflot,2025-05-20,01:56:35,197
WZ8161,Aeroflot,2024-11-12,21:18:18,277
UT8486,Utair,2024-02-14,06:13:15,154
UT330,Red Wings,2024-06-20,08:10:35,229
S74680,Rossiya,2025-06-19,06:02:52,181
FV3768,S7 Airlines,2025-06-24,12:56:15,140
U69088,Red Wings,2024-06-03,18:48:31,185
S79474,Aeroflot,2025-11-22,05:30:32,248
UT6815,Rossiya,2025-07-27,02:30:14,286
U67166,Red Wings,2025-11-07,15:18:44,182
S75184,Pobeda,2025-03-08,20:26:14,293
S73804,Nordwind,2025-11-20,04:43:59,131
WZ7569,S7 Airlines,2024-06-04,07:12:46,297
SU8097,Utair,2024-01-20,10:31:04,295
UT1675,Ural Airlines,2025-10-04,01:22:14,285
WZ6323,Rossiya,2024-09-03,00:43:37,51
S79597,S7 Airlines,2024-09-11,05:32:12,283
SU651,Aeroflot,2025-06-10,01:04:13,105
DP2722,Rossiya,2025-01-22,00:54:07,71
DP1109,Nordwind,2024-01-14,22:52:20,48
N44108,Ural Airlines,2025-01-27,15:35:36,1
SU9918,Rossiya,2025-02-26,23:36:35,0
DP4437,Pobeda,2025-05-20,21:00:33,28
S74904,Aeroflot,2024-04-14,21:43:19,90
DP4659,Pobeda,2025-01-05,11:27:12,133
SU7919,Pobeda,2024-12-26,14:42:29,122
UT4914,Aeroflot,2024-09-20,04:09:34,222
WZ2492,Pobeda,2024-10-22,02:04:43,150
S72114,S7 Airlines,2024-10-26,05:47:25,37
DP4196,Red Wings,2024-09-23,03:21:20,141
UT6119,Nordwind,2024-10-01,11:33:39,223
N41860,S7 Airlines,2025-01-14,03:41:33,287
WZ6548,Ural Airlines,2024-04-19,04:06:33,183
UT3756,Rossiya,2025-04-08,19:01:06,44
