Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
N49167,S7 Airlines,2025-11-10,09:54:04,208
FV7735,Nordwind,2025-03-07,01:47:55,190
N4982,Pobeda,2025-04-04,02:26:04,32
UT9819,Aeroflot,2024-02-12,14:37:19,244
DP3475,Rossiya,2024-09-20,21:40:56,117
S75517,Aeroflot,2024-02-13,05:26:02,83
N42754,S7 Airlines,2024-06-26,05:30:46,41
N47662,S7 Airlines,2025-03-26,08:26:54,49
N42975,Utair,2024-01-17,20:09:02,4
N4182,Utair,2025-04-04,21:45:34,229
U65463,Rossiya,2025-03-24,00:23:32,58
DP2212,Red Wings,2025-10-25,22:13:13,163
SU7543,Ural Airlines,2025-12-26,06:28:09,67
FV5428,Nordwind,2025-08-10,01:58:56,157
S77770,Ural Airlines,2025-05-23,05:55:04,242
SU9084,S7 Airlines,2025-01-26,09:19:56,204
FV5150,Aeroflot,2025-05-27,16:57:43,19
UT2089,Utair,2025-09-02,07:51:24,200
U64794,Ural Airlines,2025-04-23,09:18:51,26
S7207,Rossiya,2024-10-19,01:42:01,132
S73328,Rossiya,2025-01-23,16:33:19,117
U67202,Utair,2024-03-13,09:39:48,22
DP2082,S7 Airlines,2024-11-25,14:38:11,60
SU4245,Nordwind,2024-04-19,01:15:41,52
DP982,Nordwind,2024-02-24,21:02:42,168
N47181,Pobeda,2024-07-17,12:46:01,93
UT9965,Pobeda,2024-01-01,18:12:13,142
DP2624,Rossiya,2025-01-08,07:52:06,275
N46493,Utair,2024-03-06,11:56:02,259
FV6874,S7 Airlines,2024-10-09,17:18:42,72
UT9421,Rossiya,2024-03-16,19:36:21,217
SU8925,Ural Airlines,2025-03-19,14:22:58,272
SU6285,Red Wings,2025-01-01,08:55:48,97
U67706,Nordwind,2025-04-09,18:39:59,56
FV9953,Pobeda,2024-07-22,07:40:30,275
UT7557,Aeroflot,2024-07-01,14:30:32,116
WZ4040,Red Wings,2024-12-17,08:22:46,147
N4147,Red Wings,2025-04-19,23:38:42,279
UT6887,Red Wings,2024-09-06,19:39:59,217
UT2734,S7 Airlines,2025-02-18,18:41:21,117
U69925,S7 Airlines,2025-10-12,14:20:35,84
N43721,Pobeda,2024-05-16,02:46:28,241
S72158,Aeroflot,2024-12-25,15:50:46,294
FV3403,Utair,2024-07-07,04:06:00,33
N42842,Utair,2024-04-14,20:06:39,79
U69123,S7 Airlines,2024-09-05,23:47:42,275
WZ8038,Pobeda,2025-09-08,01:56:52,175
WZ5468,Aeroflot,2025-04-18,19:34:58,67
DP700,Nordwind,2024-07-27,05:48:44,102
UT5610,Rossiya,2025-06-24,03:55:50,153
U61389,S7 Airlines,2024-01-16,06:40:29,44
FV280,Red Wings,2024-01-09,14:17:55,86
SU4355,Aeroflot,2025-01-20,12:34:27,275
FV4031,Aeroflot,2024-10-19,23:07:36,29
SU4388,Red Wings,2025-01-06,19:46:59,232
SU8956,Aeroflot,2025-04-04,04:38:37,215
FV4273,Pobeda,2024-04-26,05:26:55,49
N42065,Utair,2025-01-21,14:27:56,71
SU6490,Nordwind,2025-09-11,22:23:08,238
N44025,Utair,2024-08-28,14:34:44,179
DP7229,Utair,2025-03-18,09:16:23,289
FV4527,Red Wings,2024-09-21,11:42:54,10
N42283,Nordwind,2024-02-21,06:26:49,82
WZ3688,Utair,2025-12-25,05:56:48,176
FV8312,Rossiya,2024-03-22,10:50:13,206
DP984,Aeroflot,2025-10-27,22:37:41,220
UT8102,Utair,2024-07-05,11:44:51,2
UT897,Nordwind,2024-01-25,06:14:44,130
S79971,Utair,2025-04-16,18:33:46,152
WZ2422,Pobeda,2024-03-28,11:02:39,155
U65770,Utair,2024-07-20,03:11:38,7
U64361,Red Wings,2024-06-15,10:42:05,178
SU6566,Aeroflot,2024-05-26,08:44:48,64
WZ7706,Pobeda,2024-02-07,10:46:38,271
SU5792,Rossiya,2025-11-23,08:33:45,127
S76835,Red Wings,2024-06-11,07:00:08,145
UT6442,Aeroflot,2025-04-27,03:43:08,118
S74815,Aeroflot,2024-10-04,06:13:11,30
SU8563,S7 Airlines,2025-01-14,16:01:23,224
SU7383,Rossiya,2024-06-14,02:30:06,142
UT8378,S7 Airlines,2024-09-18,07:35:02,293
SU7086,Utair,2024-01-02,23:45:10,33
