Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
UT1811,Pobeda,2025-03-13,07:04:51,54
N47441,Pobeda,2025-11-21,17:42:13,283
FV3258,Red Wings,2025-04-01,13:32:57,47
S75186,Aeroflot,2024-03-03,03:02:29,189
U69047,Rossiya,2024-01-09,00:50:34,189
WZ1166,Aeroflot,2025-09-11,19:57:25,152
FV8230,Rossiya,2024-01-22,14:44:12,57
N4842,Nordwind,2025-03-15,07:08:39,295
SU9494,Red Wings,2025-10-19,19:45:56,193
FV5184,Nordwind,2024-10-17,02:08:31,38
DP1825,Pobeda,2024-03-15,23:24:30,241
SU1827,Nordwind,2025-04-28,14:51:11,236
N46571,Pobeda,2025-10-25,01:46:36,287
DP5218,Aeroflot,2025-11-28,07:38:20,33
S7574,Aeroflot,2025-07-24,14:33:08,160
DP1975,Pobeda,2024-01-21,08:12:34,59
DP5378,Pobeda,2025-10-09,08:57:09,185
S71744,Utair,2024-06-09,00:55:51,292
S7479,Nordwind,2025-11-23,21:28:03,115
UT6637,Red Wings,2025-10-05,21:00:08,186
N46020,Rossiya,2024-01-06,21:09:36,224
UT289,Utair,2024-10-10,22:48:09,295
WZ9209,Ural Airlines,2025-07-05,21:05:53,93
FV3990,Rossiya,2024-11-11,15:50:38,131
S78050,Utair,2024-06-02,00:38:08,124
N42249,Rossiya,2025-07-17,17:15:33,224
U6389,Red Wings,2024-09-18,08:10:45,172
SU8653,Aeroflot,2025-01-20,09:46:25,99
WZ3287,Pobeda,2025-09-19,18:23:54,132
U61054,Red Wings,2024-10-05,22:10:28,14
N44408,Rossiya,2024-10-01,03:13:04,281
FV297,Ural Airlines,2025-02-05,06:31:58,31
WZ7116,Rossiya,2025-12-19,07:15:28,183
SU1715,Rossiya,2024-09-15,00:22:54,270
UT3992,Utair,2025-12-21,20:58:29,205
DP2884,Red Wings,2024-07-16,00:24:24,67
WZ4428,Pobeda,2025-01-13,10:59:58,262
U62312,Nordwind,2025-01-05,13:28:50,115
DP3473,Ural Airlines,2025-09-13,07:04:15,128
WZ5143,Nordwind,2024-09-12,01:22:23,244
S71527,Rossiya,2025-09-21,23:10:16,164
UT9627,Ural Airlines,2025-05-18,19:08:14,94
DP6275,S7 Airlines,2024-05-25,17:40:21,166
WZ8202,Pobeda,2025-03-01,20:07:38,190
S78648,Ural Airlines,2025-04-25,17:30:00,139
S73397,Rossiya,2025-12-26,11:31:12,113
U6593,Nordwind,2025-04-21,14:14:05,96
S79413,Rossiya,2025-05-08,13:11:45,236
N48620,Utair,2024-06-22,00:14:15,104
WZ988,Rossiya,2024-04-24,03:21:21,269
U67197,Utair,2024-06-19,18:48:42,42
WZ1185,Nordwind,2025-11-16,11:00:32,136
DP5522,Rossiya,2025-02-13,20:29:58,54
U66563,S7 Airlines,2025-01-28,21:06:55,24
UT531,Aeroflot,2025-12-01,14:02:34,214
DP2935,S7 Airlines,2024-07-26,21:19:26,48
UT6210,Pobeda,2024-11-01,13:52:01,289
U61120,Ural Airlines,2024-12-27,07:43:23,196
N46717,Rossiya,2024-04-25,16:22:10,122
U63870,Nordwind,2025-06-22,20:11:27,163
FV2448,Pobeda,2025-05-10,10:34:22,150
