Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
S76491,S7 Airlines,2025-06-26,16:43:30,194
U67969,S7 Airlines,2024-07-23,02:22:36,133
N47877,Aeroflot,2024-11-16,20:37:09,284
FV1291,Pobeda,2025-11-09,11:54:57,153
DP339,Ural Airlines,2025-09-26,09:08:45,175
UT1658,Rossiya,2024-06-12,15:33:43,26
SU8703,S7 Airlines,2025-08-20,14:57:20,283
DP9137,Nordwind,2025-12-12,02:25:07,167
WZ6323,Aeroflot,2025-09-07,15:53:07,273
FV7124,Aeroflot,2025-11-22,10:01:37,146
DP1632,Rossiya,2024-03-23,20:37:12,22
U64805,Rossiya,2024-03-07,04:59:03,290
SU8811,Ural Airlines,2025-03-23,20:12:27,233
DP1833,Nordwind,2024-02-03,11:11:26,246
FV2425,Utair,2024-01-15,14:39:49,127
N45447,Aeroflot,2025-05-09,03:21:06,162
S75631,Ural Airlines,2024-08-08,23:24:22,41
U66319,Pobeda,2024-09-20,06:04:11,135
FV9714,Red Wings,2024-08-23,11:50:25,104
DP9770,Ural Airlines,2025-09-27,18:26:05,19
DP1954,Utair,2025-01-01,15:28:26,230
U66746,Utair,2024-12-12,15:34:42,144
SU9376,Pobeda,2024-01-12,03:08:00,7
DP2458,Nordwind,2024-08-18,17:15:36,261
N45933,Red Wings,2025-05-05,14:27:12,5
DP7324,Pobeda,2025-08-10,11:21:22,154
SU3239,Utair,2024-07-12,09:40:37,198
DP6306,Pobeda,2025-01-04,02:31:17,155
SU873,Utair,2024-08-16,17:48:53,180
UT9435,Pobeda,2024-12-05,07:45:14,217
UT4481,Rossiya,2024-02-05,02:45:32,96
N41848,Utair,2024-11-27,17:09:14,154
DP1700,Rossiya,2025-05-26,23:25:19,258
SU1730,Rossiya,2025-08-26,18:25:49,155
S7985,Nordwind,2024-08-27,22:00:55,199
UT4752,Rossiya,2025-10-14,07:40:03,197
U61249,Rossiya,2024-03-15,22:23:19,182
WZ3219,S7 Airlines,2024-01-12,05:10:16,20
DP7370,Aeroflot,2024-10-25,11:55:52,3
N46326,Rossiya,2025-10-04,22:30:42,17
FV8502,Ural Airlines,2024-06-28,06:13:47,209
SU5610,Ural Airlines,2025-05-10,02:32:32,19
N43171,Ural Airlines,2025-08-09,06:19:07,291
N49241,Red Wings,2025-06-22,16:19:40,191
FV7573,Utair,2025-04-05,07:37:44,186
SU6230,Utair,2025-05-10,05:30:20,32
DP9869,Utair,2025-12-17,05:07:09,195
UT4320,Ural Airlines,2024-11-03,02:47:46,295
FV1834,Pobeda,2024-11-04,03:35:56,234
UT2543,Red Wings,2024-12-26,03:56:30,118
FV8707,Rossiya,2025-11-10,06:43:11,228
WZ5819,Nordwind,2024-05-05,18:35:11,91
FV3381,Nordwind,2025-04-17,04:02:21,108
SU6078,Utair,2025-06-26,05:18:14,169
WZ5975,Nordwind,2024-12-23,08:12:18,149
N4357,S7 Airlines,2025-04-23,00:20:22,69
U65009,Utair,2024-01-23,22:28:31,31
FV7395,Aeroflot,2024-07-15,22:56:15,3
N42934,Red Wings,2024-05-01,08:52:27,46
WZ2791,S7 Airlines,2025-06-09,07:27:31,270
UT946,Aeroflot,2025-01-14,21:47:42,37
WZ8583,Utair,2025-02-01,06:01:27,207
SU9773,Utair,2025-07-13,07:45:31,118
WZ9179,Aeroflot,2024-10-07,16:07:27,184
DP6521,S7 Airlines,2024-11-13,19:42:30,167
N47832,S7 Airlines,2025-03-16,07:01:41,266
UT1443,Utair,2025-06-08,23:24:31,197
WZ9912,Ural Airlines,2025-06-17,08:53:15,120
U65303,Ural Airlines,2024-07-18,21:07:07,150
S7218,S7 Airlines,2024-11-08,09:40:03,116
WZ7716,Pobeda,2025-01-27,21:34:56,63
WZ965,Nordwind,2025-05-22,14:51:44,83
UT1704,Pobeda,2024-07-28,01:04:15,57
S71060,Rossiya,2024-10-01,05:46:01,140
S7770,Red Wings,2024-08-28,09:13:58,207
FV6993,Rossiya,2025-07-15,03:58:29,165
SU6522,Pobeda,2024-03-10,08:38:32,241
WZ8117,Rossiya,2024-03-06,18:08:10,45
N46814,Red Wings,2025-11-17,09:10:00,20
N45940,Pobeda,2024-06-07,02:13:09,153
N46319,Nordwind,2024-08-13,05:41:33,34
S74941,Rossiya,2025-11-06,05:47:01,216
FV1884,Utair,2024-08-09,03:59:41,248
WZ4746,Nordwind,2024-10-06,22:12:42,148
WZ4440,Utair,2025-10-06,10:01:45,275
FV8369,Utair,2024-04-11,11:30:02,91
SU2343,Nordwind,2024-08-04,22:54:20,28
S79343,Aeroflot,2024-10-28,11:32:45,104
SU5681,Aeroflot,2025-03-10,20:20:47,138
WZ9278,Ural Airlines,2024-10-04,08:11:47,268
