Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
S78683,Rossiya,2024-09-11,06:22:57,233
UT9776,Pobeda,2024-04-20,06:11:37,97
DP6410,Red Wings,2025-07-28,18:26:30,140
U63153,Red Wings,2025-01-23,04:59:25,35
SU4311,Ural Airlines,2024-08-07,01:50:57,272
U65936,Red Wings,2024-01-14,19:39:40,68
WZ1255,Rossiya,2024-03-07,01:28:58,300
WZ7214,Utair,2024-08-27,15:22:06,137
U68958,Ural Airlines,2024-02-10,19:47:54,49
SU2127,Utair,2025-07-19,08:26:45,76
SU7098,Aeroflot,2024-02-16,10:14:49,263
UT6384,Nordwind,2024-01-04,01:11:59,184
SU2288,Utair,2025-07-16,16:15:18,140
N41531,Red Wings,2025-12-28,23:06:14,228
UT4604,S7 Airlines,2025-07-13,14:46:13,280
SU6530,S7 Airlines,2024-04-15,08:45:55,281
WZ7014,S7 Airlines,2025-04-03,08:21:18,288
S77511,S7 Airlines,2025-02-15,19:41:42,152
U69324,Pobeda,2025-03-03,23:07:12,58
FV7329,S7 Airlines,2025-04-13,16:24:20,35
DP3639,Rossiya,2024-12-14,06:17:55,87
UT7800,S7 Airlines,2025-06-23,14:03:20,192
DP2768,Nordwind,2025-03-06,09:19:59,221
FV1254,Pobeda,2025-05-03,18:04:50,171
N44001,Rossiya,2025-05-21,14:25:50,111
U68034,Rossiya,2024-04-08,04:04:52,52
SU647,Ural Airlines,2025-12-10,09:51:13,62
FV6739,Rossiya,2025-01-07,07:44:38,56
S71683,Red Wings,2025-11-17,08:32:19,114
DP4752,S7 Airlines,2025-04-22,16:07:10,57
WZ7652,Rossiya,2024-01-21,06:13:33,115
U62848,S7 Airlines,2025-08-28,10:55:23,264
WZ696,Red Wings,2025-07-17,12:41:34,108
SU9470,Aeroflot,2025-02-03,20:11:23,11
FV6405,Aeroflot,2024-03-27,00:15:06,64
WZ3750,Nordwind,2025-12-10,18:23:20,185
FV198,Pobeda,2025-10-22,09:11:41,143
S77328,Nordwind,2025-09-02,19:14:55,226
DP8478,Aeroflot,2025-12-01,09:35:57,72
UT1989,Aeroflot,2024-07-14,10:13:41,70
UT8897,Red Wings,2024-07-28,07:53:05,217
DP9953,Nordwind,2025-08-18,01:26:51,264
UT3662,Aeroflot,2024-04-15,19:23:06,124
WZ6358,Nordwind,2025-04-04,15:08:46,109
S77845,Utair,2025-03-16,05:02:25,257
WZ4914,Utair,2024-06-27,20:44:36,251
S76627,Aeroflot,2025-08-24,11:46:36,33
N43806,S7 Airlines,2024-07-27,23:06:44,106
N49187,Ural Airlines,2025-02-13,12:59:48,252
UT8776,S7 Airlines,2024-11-22,17:35:20,254
