Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
FV1972,Pobeda,2025-05-13,15:22:59,274
S71935,Nordwind,2024-12-10,16:31:25,175
WZ1032,Rossiya,2024-11-26,15:29:04,178
U66951,S7 Airlines,2025-11-10,13:08:16,209
UT9421,Pobeda,2025-09-02,14:57:05,219
FV9516,Utair,2025-02-10,16:36:49,132
WZ8838,Utair,2024-03-04,13:21:52,142
WZ3619,S7 Airlines,2024-10-21,20:37:43,170
U65376,Red Wings,2025-08-16,05:14:04,163
UT7397,Utair,2024-02-27,20:15:27,95
U66219,Pobeda,2025-10-17,06:35:11,26
FV6736,Nordwind,2025-08-19,01:55:16,183
UT9135,Nordwind,2025-07-16,23:25:48,279
WZ5718,Pobeda,2025-03-22,14:20:48,82
N46290,Ural Airlines,2024-02-24,09:24:56,209
S72098,Pobeda,2024-10-24,20:05:36,85
N44647,Rossiya,2024-07-16,20:32:15,72
FV1048,Nordwind,2024-09-04,19:13:31,21
SU823,Pobeda,2025-10-19,11:29:45,255
SU6048,Aeroflot,2024-07-18,08:47:27,257
N48199,Ural Airlines,2024-07-08,15:42:33,1
UT2884,Pobeda,2024-05-24,16:59:47,139
N46678,S7 Airlines,2025-12-06,09:41:17,55
FV3457,Red Wings,2025-01-05,19:02:20,151
U6171,Pobeda,2025-07-15,23:33:41,277
FV2883,Red Wings,2024-04-06,12:11:43,202
SU180,S7 Airlines,2024-12-26,06:48:13,222
DP764,Nordwind,2024-07-12,08:50:11,52
U66301,Rossiya,2024-09-24,20:01:26,179
SU6519,Pobeda,2025-10-11,03:16:02,129
SU2630,Aeroflot,2024-06-20,14:58:23,235
SU8992,S7 Airlines,2024-07-02,04:10:28,166
S73203,Ural Airlines,2024-10-20,20:39:57,44
N45000,Red Wings,2024-12-18,20:22:36,157
SU9167,Pobeda,2024-07-04,18:54:32,7
SU3062,Utair,2024-07-06,02:42:58,146
SU8315,Utair,2024-09-22,04:26:54,102
DP3997,Nordwind,2024-01-11,05:49:13,96
DP5370,Pobeda,2024-03-01,05:09:02,112
N45178,Pobeda,2025-08-18,19:44:35,201
DP7421,Pobeda,2025-04-25,05:53:49,282
FV9360,S7 Airlines,2025-06-20,03:30:18,43
FV4909,S7 Airlines,2025-04-28,18:25:17,173
SU4223,S7 Airlines,2025-01-04,11:12:06,132
UT6171,Pobeda,2025-06-18,01:17:32,157
S74558,Rossiya,2024-06-03,16:00:01,172
DP2645,Ural Airlines,2025-10-24,06:58:49,15
S77760,Red Wings,2024-11-20,09:37:55,263
S72222,Red Wings,2025-09-04,07:03:16,277
S77436,Nordwind,2024-01-11,02:35:38,103
U63513,Pobeda,2024-11-26,09:26:45,23
WZ7768,Red Wings,2025-01-02,20:34:36,14
N4484,Utair,2024-12-06,03:55:33,224
UT7134,Nordwind,2024-02-11,07:57:01,283
WZ4160,Aeroflot,2024-01-07,14:27:31,186
SU782,S7 Airlines,2025-06-17,06:23:44,11
SU8843,Ural Airlines,2024-12-20,21:23:14,274
N44197,Nordwind,2025-09-18,00:03:35,233
UT8220,Ural Airlines,2024-10-28,17:56:33,236
SU242,S7 Airlines,2024-07-14,21:42:13,111
U67650,Pobeda,2025-05-03,10:36:10,94
UT9689,Aeroflot,2024-06-21,01:47:24,183
FV5224,Aeroflot,2025-11-09,17:25:31,83
N43926,Rossiya,2024-07-23,20:21:41,8
FV9678,Red Wings,2025-11-23,17:44:13,17
SU4561,Aeroflot,2024-10-17,13:58:50,28
SU4347,Aeroflot,2025-07-10,04:23:51,238
FV6213,Nordwind,2024-03-25,06:05:04,64
S73049,Nordwind,2024-09-28,17:10:37,178
WZ6615,Aeroflot,2024-10-27,02:01:17,63
S77886,S7 Airlines,2024-03-14,16:15:46,106
DP8922,Aeroflot,2024-05-08,01:16:22,168
U65387,Ural Airlines,2025-02-24,00:55:17,115
U65262,S7 Airlines,2024-10-19,11:05:35,129
N47569,Red Wings,2024-11-17,23:32:23,135
UT2215,Ural Airlines,2025-01-28,09:19:23,91
S71970,Rossiya,2024-11-14,09:29:41,88
WZ4512,Red Wings,2025-10-18,03:48:24,176
SU365,Utair,2024-06-04,06:02:14,5
S76285,Utair,2024-01-21,20:06:42,252
UT278,Pobeda,2024-10-10,02:02:58,207
DP3514,Pobeda,2024-04-18,14:36:34,160
N49104,Pobeda,2024-07-26,14:30:46,137
WZ3377,Red Wings,2025-07-25,18:07:51,70
DP2401,Utair,2025-10-15,00:34:32,133
N46302,Pobeda,2025-05-25,07:19:06,250
UT8929,Rossiya,2024-06-06,06:58:23,121
DP1275,Utair,2025-04-15,18:40:35,129
N45141,Pobeda,2024-05-13,07:14:13,212
U62912,Utair,2024-04-25,03:09:26,65
SU3448,Nordwind,2024-09-02,19:17:32,248
WZ9255,Ural Airlines,2024-08-17,16:51:47,132
WZ572,Pobeda,2024-07-05,08:02:07,204
FV5236,Nordwind,2024-09-27,04:20:46,130
SU8617,Nordwind,2024-05-23,03:33:06,218
FV7717,Nordwind,2025-08-08,02:43:13,87
U66801,Red Wings,2025-11-07,19:27:46,198
S7305,S7 Airlines,2024-02-27,13:42:04,110
S74517,Pobeda,2024-04-12,08:52:27,190
N46668,Utair,2024-11-09,05:42:45,21
WZ1910,Pobeda,2024-05-13,19:00:21,105
U63530,Pobeda,2025-09-27,15:59:49,240
N42812,Nordwind,2025-08-11,23:51:48,210
S78015,Pobeda,2025-11-02,23:04:17,254
S72929,Pobeda,2025-06-15,15:52:23,34
FV3252,Nordwind,2025-10-15,23:53:50,70
U67973,S7 Airlines,2025-11-15,22:08:29,18
N45704,S7 Airlines,2024-09-02,13:49:32,43
S77031,Red Wings,2025-05-14,06:19:04,49
UT433,Rossiya,2025-04-03,00:51:09,135
FV2090,Nordwind,2024-06-20,06:57:30,65
SU2941,Rossiya,2024-10-26,12:23:09,80
FV8908,Nordwind,2024-04-24,06:13:01,97
UT1105,Pobeda,2025-04-16,12:50:41,162
N44862,Ural Airlines,2025-05-14,16:12:38,26
U68566,Rossiya,2025-06-17,00:33:28,132
DP3885,Rossiya,2024-11-18,02:44:21,220
U63999,Nordwind,2024-10-07,06:19:33,270
SU3490,Rossiya,2025-04-20,09:01:35,34
DP9500,Aeroflot,2025-06-27,12:25:55,98
SU9489,Rossiya,2024-07-26,02:51:31,83
U68706,Pobeda,2025-07-01,19:34:14,264
U67767,Ural Airlines,2025-02-07,22:32:32,77
WZ5834,Ural Airlines,2024-12-26,23:56:55,251
DP7556,S7 Airlines,2024-01-24,11:17:20,149
S71475,Ural Airlines,2024-09-26,09:05:05,86
WZ8259,Ural Airlines,2025-07-14,23:36:02,52
SU2536,S7 Airlines,2024-07-11,17:52:56,165
U68784,Ural Airlines,2024-01-24,09:18:10,135
S7132,Rossiya,2024-05-16,02:48:37,295
S73307,Utair,2024-02-18,15:41:37,20
DP6711,Red Wings,2025-05-19,19:00:33,125
S76534,Ural Airlines,2024-02-20,02:37:02,185
