Результаты сортировки для размера 30000
Сортировка пузырьком (Bubble)
DP676,Pobeda,2024-01-01,00:08:37,24
UT3734,Red Wings,2024-01-01,00:33:37,241
S72416,Nordwind,2024-01-01,01:39:39,116
FV9898,Red Wings,2024-01-01,02:06:16,264
S77888,Pobeda,2024-01-01,03:04:46,102
SU4141,Nordwind,2024-01-01,04:19:39,267
DP5459,Ural Airlines,2024-01-01,04:25:45,225
UT8705,Aeroflot,2024-01-01,05:19:06,15
SU9858,Nordwind,2024-01-01,05:58:42,139
FV7964,S7 Airlines,2024-01-01,06:05:52,118
FV6296,S7 Airlines,2024-01-01,07:03:53,294
N45633,Aeroflot,2024-01-01,07:56:49,122
DP6676,Aeroflot,2024-01-01,07:57:19,262
N47055,Rossiya,2024-01-01,09:28:53,83
S74283,Aeroflot,2024-01-01,09:44:24,254
DP5536,Nordwind,2024-01-01,09:50:53,137
UT2367,Ural Airlines,2024-01-01,10:11:35,209
U65611,Aeroflot,2024-01-01,10:36:15,94
U63684,Pobeda,2024-01-01,10:47:56,224
S75913,Ural Airlines,2024-01-01,10:57:09,185
WZ8097,Aeroflot,2024-01-01,11:29:26,142
FV1162,Aeroflot,2024-01-01,12:10:02,149
SU8517,Nordwind,2024-01-01,12:24:08,252
WZ9251,Pobeda,2024-01-01,13:01:19,163
WZ2495,Utair,2024-01-01,13:06:07,174
SU4243,S7 Airlines,2024-01-01,13:16:18,269
N46235,Rossiya,2024-01-01,14:11:34,87
U69568,Nordwind,2024-01-01,14:36:21,34
WZ7964,Utair,2024-01-01,15:44:50,147
S79888,Pobeda,2024-01-01,16:06:05,17
U65627,Utair,2024-01-01,17:06:40,5
S79491,Rossiya,2024-01-01,17:26:23,266
UT9554,Rossiya,2024-01-01,17:34:25,124
SU7729,S7 Airlines,2024-01-01,17:35:03,163
DP6887,Ural Airlines,2024-01-01,18:01:05,46
N41253,Utair,2024-01-01,20:06:34,225
N41920,Ural Airlines,2024-01-01,20:59:11,38
N45079,S7 Airlines,2024-01-01,21:01:15,283
U69208,S7 Airlines,2024-01-01,21:39:20,240
S79859,Aeroflot,2024-01-01,22:22:48,45
U66263,Aeroflot,2024-01-01,22:30:40,149
N44760,Rossiya,2024-01-01,22:36:43,129
WZ3779,Rossiya,2024-01-01,22:37:43,193
N45554,Nordwind,2024-01-01,22:58:04,159
UT8712,Ural Airlines,2024-01-01,23:16:42,125
SU430,Aeroflot,2024-01-01,23:18:08,256
N45509,Pobeda,2024-01-01,23:28:24,67
S71147,Utair,2024-01-01,23:48:15,143
WZ772,Nordwind,2024-01-02,00:14:24,156
FV5287,Utair,2024-01-02,00:21:16,269
N47723,Nordwind,2024-01-02,00:32:26,276
S73044,Red Wings,2024-01-02,01:03:43,281
N47295,Utair,2024-01-02,01:15:06,115
DP8058,Pobeda,2024-01-02,01:17:32,136
WZ2958,Utair,2024-01-02,01:37:24,203
FV6837,Rossiya,2024-01-02,02:07:41,185
UT6712,S7 Airlines,2024-01-02,02:24:51,81
FV6046,Rossiya,2024-01-02,02:42:56,291
S74267,Red Wings,2024-01-02,03:03:57,291
S74582,Rossiya,2024-01-02,03:12:21,280
FV534,Utair,2024-01-02,03:46:35,297
U63420,Nordwind,2024-01-02,05:38:29,96
FV639,Ural Airlines,2024-01-02,05:48:24,282
UT2983,Nordwind,2024-01-02,06:05:25,282
N46043,Nordwind,2024-01-02,06:22:40,271
SU202,Ural Airlines,2024-01-02,06:30:00,142
UT1232,Ural Airlines,2024-01-02,06:47:34,256
SU4129,S7 Airlines,2024-01-02,06:53:57,201
DP2306,Aeroflot,2024-01-02,07:33:57,55
DP5329,Ural Airlines,2024-01-02,07:40:19,131
UT4578,Ural Airlines,2024-01-02,11:10:02,42
U68962,Pobeda,2024-01-02,11:17:13,235
FV5346,Ural Airlines,2024-01-02,11:35:56,129
U65337,Ural Airlines,2024-01-02,12:32:13,262
FV9665,Aeroflot,2024-01-02,13:32:15,202
DP6382,Pobeda,2024-01-02,14:13:46,250
N49515,Pobeda,2024-01-02,14:28:30,157
FV4482,S7 Airlines,2024-01-02,14:53:58,170
S73890,Nordwind,2024-01-02,15:11:11,228
SU2428,Red Wings,2024-01-02,15:40:43,203
UT5630,Nordwind,2024-01-02,15:54:53,76
N47119,Red Wings,2024-01-02,16:03:10,102
WZ9239,S7 Airlines,2024-01-02,16:42:29,126
S77222,Utair,2024-01-02,16:46:06,252
