Результаты сортировки для размера 20000
=== Сортировка пузырьком (Bubble) ===
WZ1143,Utair,2024-01-01,00:05:39,186
U67242,Ural Airlines,2024-01-01,00:18:09,210
FV4953,Ural Airlines,2024-01-01,00:36:09,206
SU9353,S7 Airlines,2024-01-01,00:52:31,140
FV2113,Pobeda,2024-01-01,00:55:22,73
U65624,Ural Airlines,2024-01-01,01:04:24,23
WZ775,Aeroflot,2024-01-01,02:39:39,31
FV7936,Nordwind,2024-01-01,03:46:46,284
U69210,Utair,2024-01-01,04:28:08,39
FV543,Nordwind,2024-01-01,05:06:39,245
DP5842,Pobeda,2024-01-01,06:28:11,292
N44527,Rossiya,2024-01-01,06:59:17,138
DP5806,Utair,2024-01-01,07:25:51,159
U67127,Utair,2024-01-01,07:35:21,243
UT9281,Nordwind,2024-01-01,10:01:51,141
WZ5706,Utair,2024-01-01,10:56:35,223
DP3260,Pobeda,2024-01-01,11:25:17,8
SU4322,Pobeda,2024-01-01,12:31:59,145
WZ3484,Nordwind,2024-01-01,13:08:56,28
S73379,Nordwind,2024-01-01,13:49:26,148
U69881,S7 Airlines,2024-01-01,14:23:20,52
N48497,Utair,2024-01-01,14:25:29,263
N47230,Rossiya,2024-01-01,15:00:01,225
WZ4744,Nordwind,2024-01-01,15:22:49,208
WZ8167,Aeroflot,2024-01-01,15:26:24,134
S77208,Rossiya,2024-01-01,18:38:42,210
WZ8570,Red Wings,2024-01-01,21:34:07,40
UT428,Red Wings,2024-01-01,22:24:22,249
N49711,Ural Airlines,2024-01-01,22:58:45,41
N48975,Rossiya,2024-01-01,23:24:49,47
S72599,Pobeda,2024-01-02,00:58:09,99
UT2659,Red Wings,2024-01-02,01:09:02,212
DP9799,Nordwind,2024-01-02,01:20:55,222
SU741,Rossiya,2024-01-02,02:06:38,98
U66539,Pobeda,2024-01-02,02:23:21,252
DP134,S7 Airlines,2024-01-02,02:40:55,228
FV4151,Aeroflot,2024-01-02,03:11:01,18
FV2319,Utair,2024-01-02,03:24:50,225
N46653,Aeroflot,2024-01-02,03:37:41,266
N45171,Red Wings,2024-01-02,03:39:20,134
SU1913,Pobeda,2024-01-02,04:38:54,128
DP2044,Aeroflot,2024-01-02,05:04:48,290
N41940,Nordwind,2024-01-02,06:47:32,219
FV9394,Pobeda,2024-01-02,06:51:57,254
